axis,x,y,source_points,role
0.32,805.06,9575.531,617,local_frozen_track_geometry_linked_by_relative_distance
0.3225,764.721,9459.355,617,local_frozen_track_geometry_linked_by_relative_distance
0.325,720.355,9333.083,617,local_frozen_track_geometry_linked_by_relative_distance
0.3275,678.373,9213.906,617,local_frozen_track_geometry_linked_by_relative_distance
0.33,646.191,9121.773,617,local_frozen_track_geometry_linked_by_relative_distance
0.3325,612.317,9024.145,617,local_frozen_track_geometry_linked_by_relative_distance
0.335,570.009,8902.477,617,local_frozen_track_geometry_linked_by_relative_distance
0.3375,527.224,8780.339,617,local_frozen_track_geometry_linked_by_relative_distance
0.34,475.342,8633.275,617,local_frozen_track_geometry_linked_by_relative_distance
0.3425,425.765,8492.627,617,local_frozen_track_geometry_linked_by_relative_distance
0.345,386.402,8380.309,617,local_frozen_track_geometry_linked_by_relative_distance
0.3475,352.651,8283.383,617,local_frozen_track_geometry_linked_by_relative_distance
0.35,312.953,8169.335,617,local_frozen_track_geometry_linked_by_relative_distance
0.3525,270.949,8048.721,617,local_frozen_track_geometry_linked_by_relative_distance
0.355,228.945,7928.108,617,local_frozen_track_geometry_linked_by_relative_distance
0.3575,186.941,7807.494,617,local_frozen_track_geometry_linked_by_relative_distance
0.36,144.157,7685.404,617,local_frozen_track_geometry_linked_by_relative_distance
0.3625,100.775,7562.611,617,local_frozen_track_geometry_linked_by_relative_distance
0.365,57.667,7440.213,617,local_frozen_track_geometry_linked_by_relative_distance
0.3675,6.77,7292.833,617,local_frozen_track_geometry_linked_by_relative_distance
0.37,-47.995,7135.017,617,local_frozen_track_geometry_linked_by_relative_distance
0.3725,-96.791,6994.705,617,local_frozen_track_geometry_linked_by_relative_distance
0.375,-137.713,6877.327,617,local_frozen_track_geometry_linked_by_relative_distance
0.3775,-178.635,6759.95,617,local_frozen_track_geometry_linked_by_relative_distance
0.38,-221.487,6638.192,617,local_frozen_track_geometry_linked_by_relative_distance
0.3825,-265.082,6514.626,617,local_frozen_track_geometry_linked_by_relative_distance
0.385,-305.823,6398.732,617,local_frozen_track_geometry_linked_by_relative_distance
