axis_index,driver,team,lap,stint,compound,tyre_age,straight_id,max_speed_kph,p95_speed_kph,full_throttle_distance_share,drs_distance_share,acceleration_150_250_kph_per_100m,segment_time_s,segment_distance_m,feature_role
137,ANT,Mercedes,31,1,HARD,31.0,S02,292.0,292.0,0.6521739130434783,0.0,,1.475710055585266,116.4910879304462,observed_straight_speed_control_proxy_not_engine_power_or_drag
137,ANT,Mercedes,31,1,HARD,31.0,S03,309.0,308.253645324707,0.9631578947368421,0.0,39.59621949678988,13.827713713202108,1000.7643463115606,observed_straight_speed_control_proxy_not_engine_power_or_drag
137,ANT,Mercedes,31,1,HARD,31.0,S04,295.2159423828125,295.0,1.0,0.0,,2.98073752726506,232.9821758608924,observed_straight_speed_control_proxy_not_engine_power_or_drag
137,ANT,Mercedes,31,1,HARD,31.0,S05,256.27703857421875,254.6166114807129,1.0,0.0,32.075373027504455,2.0069464099728522,132.37623628459795,observed_straight_speed_control_proxy_not_engine_power_or_drag
137,ANT,Mercedes,31,1,HARD,31.0,S06,280.7610168457031,279.9216033935547,0.9125,0.0,39.28955875374185,6.687554254956582,418.3089066593295,observed_straight_speed_control_proxy_not_engine_power_or_drag
138,ANT,Mercedes,34,2,MEDIUM,2.0,S01,278.0971984863281,277.7348297119141,1.0,0.0,,0.9740723297498137,73.40150345824564,observed_straight_speed_control_proxy_not_engine_power_or_drag
138,ANT,Mercedes,34,2,MEDIUM,2.0,S02,290.9281921386719,290.84862060546874,0.5652173913043478,0.0,,1.4398843501760477,115.34521972010029,observed_straight_speed_control_proxy_not_engine_power_or_drag
138,ANT,Mercedes,34,2,MEDIUM,2.0,S03,310.9427185058594,310.0,0.9631578947368421,0.0,47.055284147261965,13.092712472100272,990.9202966863162,observed_straight_speed_control_proxy_not_engine_power_or_drag
138,ANT,Mercedes,34,2,MEDIUM,2.0,S04,296.578369140625,294.5332275390625,1.0,0.0,,2.929016343963936,230.69043944020058,observed_straight_speed_control_proxy_not_engine_power_or_drag
138,ANT,Mercedes,34,2,MEDIUM,2.0,S05,263.9395446777344,262.8560333251953,1.0,0.0,22.20541401429019,1.9241509066231557,131.07411331829576,observed_straight_speed_control_proxy_not_engine_power_or_drag
138,ANT,Mercedes,34,2,MEDIUM,2.0,S06,280.6377258300781,280.0043914794922,0.9625,0.0,42.18717191547066,6.361881792292052,414.19419808581466,observed_straight_speed_control_proxy_not_engine_power_or_drag
139,ANT,Mercedes,35,2,MEDIUM,3.0,S01,279.03582763671875,278.4647705078125,1.0,0.0,,0.9645028870800436,73.20472849779989,observed_straight_speed_control_proxy_not_engine_power_or_drag
139,ANT,Mercedes,35,2,MEDIUM,3.0,S02,292.0,292.0,0.6521739130434783,0.0,,1.423135108853174,115.03600192511412,observed_straight_speed_control_proxy_not_engine_power_or_drag
139,ANT,Mercedes,35,2,MEDIUM,3.0,S03,312.0,311.67725830078126,0.9,0.0,46.424164732655726,13.211430543828772,988.2638347202986,observed_straight_speed_control_proxy_not_engine_power_or_drag
