axis_index,driver,team,lap,stint,compound,tyre_age,corner_id,speed_band,entry_speed_kph,minimum_speed_kph,exit_speed_kph,minimum_rel_distance,brake_onset_rel_distance,brake_to_minimum_m,throttle_recovery_rel_distance,minimum_to_throttle_recovery_m,segment_time_s,segment_distance_m,observed_brake_onset,feature_role
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P08,medium_speed,202.5198211669922,202.5198211669922,265.7641296386719,0.537,0.497,208.46904824340226,0.537,0.0,2.9777075050350743,198.04559583123213,True,distance_axis_observed_corner_proxy_not_official_anchor
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P09,high_speed,295.8772888183594,295.8772888183594,301.0187072753906,0.619,,,0.619,0.0,3.048722945101037,255.37458409816776,False,distance_axis_observed_corner_proxy_not_official_anchor
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P10,medium_speed,297.0292663574219,155.0,161.96226501464844,0.705,0.671,177.19869100689192,0.723,93.811071709531,3.9024745625369617,213.6807744494873,True,distance_axis_observed_corner_proxy_not_official_anchor
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P11,medium_speed,165.22225952148438,165.22225952148438,225.1140594482422,0.713,0.673,208.46904824340226,0.723,52.117262060850564,2.4957467605796992,135.50488135821146,True,distance_axis_observed_corner_proxy_not_official_anchor
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P12,medium_speed,261.3240966796875,188.7765350341797,188.7765350341797,0.813,0.801,62.54071447302068,,,3.5947474809345232,255.37458409816776,True,distance_axis_observed_corner_proxy_not_official_anchor
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P13,low_speed,179.4989013671875,95.0,134.53335571289062,0.827,0.801,135.50488135821146,0.88,276.22148892250794,4.9268233967587864,166.7752385947218,True,distance_axis_observed_corner_proxy_not_official_anchor
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P14,low_speed,136.2344207763672,136.2344207763672,215.33416748046875,0.847,0.807,208.46904824340226,0.88,171.98696480080687,5.4245828498413475,244.95113168599764,True,distance_axis_observed_corner_proxy_not_official_anchor
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P15,medium_speed,217.6832733154297,217.6832733154297,252.3110809326172,0.895,0.858,192.83386962514706,0.895,0.0,3.7321976033460063,255.37458409816776,True,distance_axis_observed_corner_proxy_not_official_anchor
1008,TSU,Red Bull Racing,40,2,MEDIUM,8.0,P16,low_speed,248.5018768310547,117.15655517578125,141.56546020507812,0.968,0.943,130.29315515212642,0.977,46.9055358547655,3.8414563338926495,156.35178618255168,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P01,medium_speed,267.2604675292969,148.06443786621094,212.7773895263672,0.076,0.053,119.85906792855478,0.085,46.90137440682578,4.510814459802343,229.29560821114828,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P02,medium_speed,214.999755859375,214.999755859375,258.0151672363281,0.099,0.059,208.45055291922571,0.099,0.0,2.7287550333784933,182.39423380432248,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P03,high_speed,261.5447082519531,261.5447082519531,273.3923645019531,0.139,,,0.139,0.0,2.7243586942339766,203.23928909624505,False,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P04,high_speed,281.59124755859375,281.59124755859375,291.8513488769531,0.192,,,0.192,0.0,2.1464472704099995,171.9717061583612,False,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P05,low_speed,279.3834533691406,90.95027923583984,128.11300659179688,0.275,0.243,166.76044233538056,0.288,67.74642969874834,5.122718817461526,192.8167614502838,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P06,low_speed,300.3420715332031,61.00225830078125,79.96868896484375,0.503,0.474,151.12665086643864,0.528,130.28159557451607,4.8624555516913635,171.9717061583612,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P07,low_speed,86.65668487548828,86.65668487548828,203.86610412597656,0.507,0.474,171.9717061583612,0.528,109.4365402825935,4.367365579152526,151.12665086643864,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P08,medium_speed,207.59283447265625,207.59283447265625,268.6126403808594,0.537,0.497,208.45055291922571,0.537,0.0,2.950712018874243,198.0280252732644,True,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P09,high_speed,298.188232421875,298.188232421875,303.19378662109375,0.619,,,0.619,0.0,3.023437147150481,255.35192732605148,False,distance_axis_observed_corner_proxy_not_official_anchor
1009,TSU,Red Bull Racing,41,2,MEDIUM,9.0,P10,medium_speed,298.9672546386719,157.31570434570312,165.1683807373047,0.708,0.672,187.60549762730312,0.731,119.85906792855478,3.9159457764567454,213.66181674220636,True,distance_axis_observed_corner_proxy_not_official_anchor
