axis_index,driver,team,lap,stint,compound,tyre_age,position,lap_duration_s,lap_length_m,telemetry_samples,observed_time_s,telemetry_coverage,sample_full_throttle_share,time_full_throttle_share,time_brake_share,time_drs_share,lap_speed_p99_kph,lap_speed_max_kph,lap_speed_median_kph,axis_reconstructed_time_s,axis_time_error_s,deleted,is_accurate,green_or_yellow,pace_eligible,acceleration_150_250_kph_per_100m,straight_max_speed_kph,straight_full_throttle_distance_share,traffic_ratio,traffic_missing_share,traffic_observed_time_s,lap_fraction,clean_air_share,candidate_weight,audited_candidate
577,LAW,Racing Bulls,44,2,HARD,23.0,17,90.12300109863281,5221.098244333208,683,90.24700164794922,1.0,0.5168374816983895,0.5102995598475085,0.18665440093314187,0.0779970673408373,320.4222113037109,323.0,222.0,90.09814538904672,-0.024855709586091734,False,True,True,True,44.485524965205194,320.0,0.8830186880244089,1.0,0.0,90.24700164794922,0.7586206896551724,0.0,0.0,False
578,LAW,Racing Bulls,45,2,HARD,24.0,17,89.76200103759766,5213.90824527581,692,89.88500213623047,1.0,0.5216763005780347,0.5270290986891464,0.1749123613800966,0.0,311.0,313.0,221.0,89.71897179810045,-0.04302923949720139,False,True,True,True,38.466389691413546,313.0,0.8701611365369947,0.09297435251154637,0.0,89.88500213623047,0.7758620689655172,0.9070256474884536,0.8226955252018485,True
579,LAW,Racing Bulls,46,2,HARD,25.0,18,89.98699951171875,5208.897300106357,674,90.11000061035156,1.0,0.5074183976261127,0.5120519942683444,0.17132390674273879,0.07412052834593949,321.0036749267578,325.0,221.0,89.85659905903698,-0.13040045268176925,False,True,True,True,45.79820055076283,311.0,0.8959572845156369,0.5650205428918276,0.0,90.11000061035156,0.7931034482758621,0.43497945710817243,0.18920712810612042,False
580,LAW,Racing Bulls,47,2,HARD,26.0,18,88.98999786376953,5201.200514353067,683,89.11199951171875,1.0,0.5241581259150805,0.540634365832689,0.1580258802416557,0.0,313.9262030029297,316.0,221.0,88.89612693853846,-0.09387092523107299,False,True,True,True,46.19008381306305,315.918701171875,0.9254910373760489,0.22498653263571303,0.0,89.11199951171875,0.8103448275862069,0.775013467364287,0.6006458745960147,False
581,LAW,Racing Bulls,48,2,HARD,27.0,18,89.31900024414062,5222.4357787966355,656,89.45700073242188,1.0,0.5304878048780488,0.5355087900462828,0.16052400819662904,0.0,311.4163955688477,313.0,220.0,89.23872346851388,-0.08027677562674285,False,True,True,True,40.96375070254913,312.87176513671875,0.9004528985507246,0.0,0.0,89.45700073242188,0.8275862068965517,1.0,1.0,True
582,LAW,Racing Bulls,49,2,HARD,28.0,18,89.00900268554688,5230.749916178912,674,89.13199996948242,1.0,0.5474777448071216,0.5436544439883573,0.17233985831796983,0.0,312.1997973632812,314.0,224.01990509033203,89.13184518076523,0.12284249521835022,False,True,True,True,47.852179832814635,314.0,0.8948703279938978,0.0,0.0,89.13199996948242,0.8448275862068966,1.0,1.0,True
583,LAW,Racing Bulls,50,2,HARD,29.0,18,88.98999786376953,5229.124219190545,642,89.12899780273438,1.0,0.5218068535825545,0.5295134383028159,0.16829538017119208,0.0,311.59000000000003,314.0,224.35572052001953,89.04801738456017,0.0580195207906371,False,True,True,True,43.36001452751231,313.98785400390625,0.8746662852784134,0.0,0.0,89.12899780273438,0.8620689655172413,1.0,1.0,True
584,LAW,Racing Bulls,51,2,HARD,30.0,18,89.00800323486328,5203.807305627586,673,89.13000202178955,1.0,0.5468053491827637,0.5392796673248513,0.17997306771576474,0.0,311.490849609375,313.0,223.0,88.76664829159361,-0.24135494326966977,False,True,True,True,46.09559904303917,313.0,0.9095728451563692,0.0,0.0,89.13000202178955,0.8793103448275862,1.0,1.0,True
585,LAW,Racing Bulls,52,2,HARD,31.0,18,89.12100219726562,5215.860410609544,642,89.25900268554688,1.0,0.5529595015576324,0.5575124498305719,0.15865063427422843,0.0,310.9610494995117,313.0,224.90312957763672,89.01273731952901,-0.10826487773661597,False,True,True,True,46.9381771808689,313.0,0.8889206712433256,0.0,0.0,89.25900268554688,0.896551724137931,1.0,1.0,True
586,LAW,Racing Bulls,53,2,HARD,32.0,18,92.1520004272461,5203.977404282325,683,92.28150177001953,1.0,0.486090775988287,0.4733614125633778,0.19897810210076936,0.0,304.0,305.0,218.0,91.98433179471661,-0.16766863252948383,False,True,True,True,43.67072153231818,302.86907958984375,0.8445318459191457,0.465521204088687,0.0,92.28150177001953,0.9137931034482759,0.534478795911313,0.2856675832788069,False
