driver,lap,reference_green_median,reference_traffic_ratio,reference_target_role,position,missing,lap_frac,switches,observed_time_s,telemetry_samples,circuit_length_estimate_m,audited_traffic_ratio,audited_definition,cur_1.5,cur_1.75,cur_2.0,cur_2.25,cur_2.5,cur_q1,cur_q5,cur_q9,cross_1.5,cross_1.75,cross_2.0,cross_2.25,cross_2.5,cross_q1,cross_q5,cross_q9,ahead_1.5,ahead_1.75,ahead_2.0,ahead_2.25,ahead_2.5,ahead_q1,ahead_q5,ahead_q9,visual_prediction
NOR,11,127.0,0.5448511143000001,image_color_derived_proxy,3.0,0.0,0.1896551724137931,0.0,89.94850158691406,697,5216.3515625,0.9214717385385416,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.04808302437799678,0.10932931935252121,0.31084454833783304,0.5412541101715221,0.6753308712593503,1.7108310546875,2.204012885460487,2.968368148803711,0.0,0.07707744367343441,0.9214717385385416,1.0,1.0,1.7843544483184814,1.8775110244750977,1.9871735572814941,0.02245732090556781,0.32202880640078274,0.7491619294928722,0.856406717435429,0.9295041107811629,1.6211581270766318,1.8214580850342252,2.40467979843704,0.6103550735559534
NOR,12,237.0,0.01838986030000015,image_color_derived_proxy,3.0,0.0,0.20689655172413793,0.0,89.80999851226807,687,5216.3515625,0.029851907362999787,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.039093644522474685,0.11973051792586525,0.17789779775560854,0.33745680763713365,0.6104775699694165,1.6947206374237695,2.389797993963072,3.074844715896162,0.0,0.0,0.029851907362999787,0.9363768184440977,1.0,2.119961977005005,2.1977221965789795,2.2383081912994385,0.0,0.057465839138002434,0.2722303467242795,0.7185280674341304,0.8129161792682201,1.8375628279970728,2.1109542532184706,2.9513257389270233,0.13983242601584633
NOR,13,241.0,0.0,image_color_derived_proxy,3.0,0.0,0.22413793103448276,0.0,89.87300491333008,667,5216.3515625,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.03172250637307341,0.07310311745041918,0.12643393621107327,0.18490545750027304,2.154172321188039,2.9471753448202116,4.142914525473991,0.0,0.0,0.0,0.0,0.22610793046370897,2.444974660873413,2.751371145248413,2.922982931137085,0.0,0.0,0.0,0.08817999439927403,0.37273705569675025,2.2691208786678283,2.5857089380215594,3.7519953614962707,0.0
NOR,14,240.0,0.00403182610000016,image_color_derived_proxy,3.0,0.0,0.2413793103448276,0.0,90.1919994354248,665,5216.3515625,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.033938717881137656,0.053330666755937936,0.10478755675790742,0.15093359833168746,0.1999955330881066,1.9635733021811006,3.180670111450062,4.2627149720250905,0.0,0.0,0.0,0.010211543515419585,0.06241131866094025,2.6095781326293945,3.0035839080810547,3.3784332275390625,0.0,0.012850368147768259,0.05567010413926504,0.10244810880075644,0.16575752576581818,2.2118582508518316,2.896834425056387,4.530027800391182,0.04380520842364111
NOR,15,240.0,0.00403182610000016,image_color_derived_proxy,3.0,0.0,0.25862068965517243,0.0,89.71799564361572,690,5216.3515625,0.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0,0.012806775856453375,0.039568461447348754,0.0732294232064397,0.12694216494029725,2.348180311859631,3.6791220454846396,4.8195929887401014,0.0,0.0,0.0,0.0,0.0,3.3581430912017822,3.4746837615966797,3.5610547065734863,0.0,0.0,0.0,0.0,0.04636752888779861,2.739288460762857,3.2672732530202735,5.307185941345736,0.0
NOR,16,240.0,0.00403182610000016,image_color_derived_proxy,3.0,0.0,0.27586206896551724,0.0,91.85299980640411,681,5216.3515625,0.05582827504993457,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.005661224552923276,0.03738578171425274,0.067183429392442,0.10786801961118642,0.15677226381633988,2.20750907759233,3.5676752083568366,5.223164317501814,0.0,0.020021169917994824,0.05582827504993457,0.11714367896760844,0.23946963246681757,2.1690614223480225,2.9516236782073975,3.348895311355591,0.008393887241239299,0.03132177400227488,0.16702772015004763,0.25978460961878996,0.3276757803325733,1.8621802946587651,2.942400258890338,4.413723536884297,0.1136759411930941
NOR,17,15.0,1.0,image_color_derived_proxy,9.0,0.0,0.29310344827586204,0.019300361881785282,110.44900131225586,830,5216.3515625,0.8687810719745076,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.7895409035087692,0.8035654565660583,0.810201984606858,0.8224067085675836,0.835362920869477,0.14436045764857053,0.74463134765625,27.30651159956629,0.8474318453876266,0.8558429748994795,0.8687810719745076,0.882099433392314,0.882099433392314,0.08270597457885742,0.7282309532165527,6.670743465423584,0.8402520720866528,0.8595550896828067,0.8618185777816553,0.8639915286015255,0.8639915286015255,0.08321308053087118,0.7030628003837202,8.390113418321706,0.8483886976133731
NOR,18,15.0,1.0,image_color_derived_proxy,7.0,0.0,0.3103448275862069,0.012012012012012012,90.0880012512207,667,5216.3515625,1.0,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.9868572597053679,0.996736524335336,0.996736524335336,0.996736524335336,0.996736524335336,0.18814203716440703,0.49713375310229646,1.2434358653659963,0.9917857909134512,1.0,1.0,1.0,1.0,0.15129733085632324,0.491865873336792,1.246220588684082,0.9691523922163205,0.9925738997017661,1.0,1.0,1.0,0.15149931383541526,0.4930344185831583,1.1342866202635757,0.999812770046516
NOR,19,121.0,0.5735671827000001,image_color_derived_proxy,5.0,0.0,0.3275862068965517,0.007564296520423601,89.8109998703003,662,5216.3515625,0.4562581560094208,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.5576710833493259,0.576599815851904,0.5808197644470838,0.6067519415115855,0.6274955764169682,0.10229292782870207,0.4838047501955691,4.743907597712699,0.4562581560094208,0.4562581560094208,0.4562581560094208,0.4562581560094208,0.4583069136137102,0.1454601287841797,3.5077764987945557,3.9166336059570312,0.4562581560094208,0.4562581560094208,0.4562581560094208,0.4562581560094208,0.4671811148380674,0.1465325745387607,2.651668956779465,5.60046583585503,0.4732105773075405
NOR,20,241.0,0.0,image_color_derived_proxy,4.0,0.0,0.3448275862068966,0.001451378809869376,89.6569995880127,690,5216.3515625,0.011030929368666472,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.0122578291798537,0.025419060270574733,0.06054180787886863,0.10349447194755981,0.16652352973622206,2.2438170399944157,3.475632342170267,4.3694108145577575,0.008465597071370902,0.008465597071370902,0.011030929368666472,0.01221321295204968,0.01221321295204968,2.989042282104492,3.235851287841797,3.3760180473327637,0.008465597071370902,0.008465597071370902,0.011030929368666472,0.02125880702391556,0.10993004278658453,2.475992937131876,3.0909606534721097,4.758377276620482,0.0
NOR,21,203.0,0.18111424790000016,image_color_derived_proxy,4.0,0.0,0.3620689655172414,0.0,89.26300430297852,674,5216.3515625,0.1824384872990797,nearest_physical_car_same_track_location_crossing_headway_le_2s,0.022405656194522672,0.07890168194452926,0.16489465426591324,0.2898625118436039,0.48907169126641936,1.828374079347567,2.505441104664522,3.1526103485178862,0.0,0.04867635186530324,0.1824384872990797,0.366277245310326,0.6745796249799304,1.8019020557403564,2.295830726623535,2.7339839935302734,0.013544155429621696,0.13247374620621125,0.29759241985420276,0.4688953019648363,0.675263008028159,1.7140657680409392,2.28697651159351,3.203398295607882,0.16403779646974193
